,Title,Hoax
5325, “Instruksi Gubernur Jateng tentang penilangan  bagi yg tidak bermasker di muka umum Rp.150.000 menggunakan e-tilang Via apps PIKOBAR”,1
8992,[]  “Sultan” Erdogan memanggul keranda Muhammad Ali,1
5523, Kakek di Banten Kelaparan Hingga Makan Kapuk,1
3479, Vaksin Melemahkan Kekuatan TNI,1
8922,[] Penculik Anak dengan Mukena Pink dan Pura-pura Gila,1
4740, Anies Baswedan Terpapar COVID-19 dan Dilarikan ke RS Royal Sunter,1
3984, Risma Joget Tanpa Menggunakan Masker,1
1156, Eksperimen simpanse dan anak dihentikan karena anak meniru tingkah monyet,1
8385,() Iklan Lowongan Pekerjaan Menghamili Istri Lurah di Gorontalo Berhadiah Rp 10 Juta,1
8446,[] TRAGIS! 5 Biksu Tewas Diserang Buaya Saat Mengejar dan Menembaki Pengungsi Rohingya,1
7792," “Sepertinya berangkat sendiri, biaya sendiri, selebrasi sendiri, tidak ada yang kasih bendera”",1
2706, Baim Wong Bagi-Bagi Hadiah 100 Juta,1
8591,[] BAHAYA OBAT BIUS UNTUK WANITA PROGESTEREX,1
6603, “Keren yah.Mobil SITAAN.Masih bisa keluar.Maha Benar Lembaga Tersuci”,1
4789, “Bocor A1. dari temen Gue di Mabes Polri”,1
8151,  Bahaya Makan Rambutan Sambil Minum Teh Manis Sebabkan Penyumbatan Saluran Pernapasan,1
8232,"[] “Breaking News, yg punya anak di Yogya silahkan di’forward!”",1
3377, Link Bantuan Pulsa 200 Ribu dan Kuota 105 GB dari Kemendikbud,1
1429," Dabbah Telah Muncul, binatang Pesan Tanda Kiamat",1
6426, Lingkaran Merah Di Tabung Gas Elpiji 3kg Adalah Penanda Kebocoran,1
2614, Lowongan Kerja PT Otoritas Jasa Keuangan,1
2673, Akun Facebook Wali Bupati Tanjung Jabung Barat Hairan Journey,1
1721, Link untuk Mendaftar PKH,1
3060, Rajin Wudhu Aman dari Virus,1
828, Pidato Henry Kissinger pada 25 Februari 2009 Mengenai Vaksinasi Massal dan Modifikasi Genetik,1
4011, Video “Okey Batman sudah tiba di Capitol Hill utk bubarin demo”,1
1318, Merapi Ngamuk Erupsi Besar,1
6682, Orang yg mengibarkan bendera Bintang Kejora di gunung Papua akhirnya ditangkap Polisi Hongkong,1
592, Gambar Tangkapan Layar Artikel “Ma’ruf amin Himbau warga miskin terpencil banyak sedekah biar tak ngundang bencana”,1
5983," Penganut Islam Kristen, Yahudi dan Buddha Hadir di Selandia Baru Mengalunkan Asmaul Husna dan Kalimat Tauhid untuk Menghadapi Wabah Corona",1
1199, Video Sosok Makhluk Aneh di Hutan,1
5313, Media Tidak Menyiarkan Demo RUU HIP,1
554, Video Juru Kamera Terlihat Lebih Cepat dari Peserta Lomba Lari,1
8138,[/FITNAH] Artikel Tentang Perlawanan Untuk Gulingkan Jokowi yang ditulis TB Hasanuddin,1
1253, Akun Whatsapp Bupati Gresik Fandi Akhmad Yani Menggalang Dana,1
3151, Mantan Gubernur Kaltim Faroek Ishak Meninggal Dunia,1
2876, Video “Ketika iblis mengira dia memiliki saya!”,1
3528, Pengumuman Pemenang “BIG SALE SHOPEE 3.3”,1
7360, Hoax adalah Berita yang Tidak Sesuai dengan Kepentingan Penguasa,1
8227,[] SARI ROTI BERUBAH NAMA MENJADI GARMELIA,1
4427, “Kagak Mau Ninggalin Gedung Putih… Eksekusi Langsung”,1
5117, “Ketua KPU Imbau Masyarakat Hormati Hasil Pemilu Walau Banyak Kecurangan”,1
93, Gambar Tangkapan Layar Artikel “Menteri yaqut pikir-pikir dulu soal sholat Jumat pindah di hari Sabtu”,1
4191, Akun Whatsapp Ketua DPRD Tangsel “Abdul Rasyid”,1
8412, Pesan Berantai Tentang Penyebab Penyakit Dalam Organ Tubuh,1
6700, “Papua kini kibarkan bendera Yahudi Israel”,1
6375," Judul artikel “Nama Muhammad dan Ali Dilarang Terbang, Kebijakan Imigrasi Bukti Diskriminasi Umat Islam”",1
2948, Video “VIRAL TERBARU HARI INI ~ KENA AZAB AKHIRNYA UAS BERPULANG SAAT INI?”,1
1383, Foto Wisuda Jokowi,1
9086, Kenaikan Tarif Tol adalah karena Jokowi,1
1222, “AKHIRNYA PARTAI PKS DIBUBARKAN”,1
6860, “Jika melawan diancam proses hukum berjalan”,1
3721, “setelah di vaksin maka kasus HIV dan kanker akan meledak”,1
8670,() IT KPU dituding Curang Matikan Server Situs KPU,1
7471, “ESEMKA MENELAN KORBAN !!!”,1
3095, Video “Kami orang² Dayak sudah mulai gerah adanya cina² yg sudah mengusai daerah”,1
1937," Pilpres 2024 Dibatalkan Rakyat, Jokowi Kembali Diangkat Jadi Presiden",1
2697, Link Peduli Lindungi (pedulilindungia.com),1
7117," Foto penampakan tol Cisumdawu, Cileunyi-Sumedang-Dawuan yang memangkas dan menerobos bukit",1
5609, Video “TNI sdah mlai turun mnjaga ruslan buton”,1
3677, Banjir Pekalongan Tidak Disiarkan di TV,1
7619, Dana Bantuan Pada Buku Tabungan Bodong Untuk Renovasi Rumah Korban Gempa di Lombok,1
2907, Video “pengurusan Covid di Indon”,1
879, Akun Whatsapp Plt Bupati Bandung Barat Hengky Kurniawan “0821-3233-0593”,1
3404, OVO Bagikan 1000 Jam Tangan Pintar dalam Rangka Perayaan Ulang Tahun OVO yang ke-60,1
1452, Narkotika Jenis Kokain yang Siap Konsumsi Terdapat di Meja Kerja Presiden Ukraina,1
7160, “Pasukan asing akan masuk NKRI melindungi warga asing”,1
7838, Video Gunung Sinabung Meletus,1
9020, Pengungsi Syria Dilempari Koin oleh Suporter Klub Sepakbola PSV Eindhoven di Spanyol,1
7235, Tulisan Ridwan Kamil  “NIAT BUSUK KUBU SEBELAH SEJAK 2014”,1
6595, Foto Bernard Abdul Jabbar yang sedang dirawat di rumah sakit usai ditetapkan tersangka & ditahan kasus Ninoy K,1
4421, Trump Mengamuk Usai Pilpres,1
2932, Pernyataan “Semua orang yang divaksinasi akan mati dalam 2 tahun” oleh Luc Montagnier,1
3592, Memakai Emas Dapat Menyebabkan Alzheimer,1
5440, Video “PDIP menyuruh orang untuk membakar bendera PDIP”,1
1631, Video “Mahasiswa masuk gedung DPR RI …”,1
2301, Akun Facebook “Pemberitahuan Id”,1
1919, Makanan Kaleng Mengandung Virus HIV Aids,1
3379," Ulang Tahun ke-60, JCO Indonesia Bagikan 1000 Jam Tangan dan Perangkat Seluler",1
9037,() FOTO JALANAN DI PAPUA,1
1688, Akun Whatsapp Wakil Wali Kota Sukabumi Andri Setiawan Hamami “+628128183452”,1
7906," “WIRANTO Tegas Akan Bubarkan DPR Jika Tak Selesaikan RUU T3ROR1SME, Fadli Zon CIUT”",1
8387,()  Seorang Narapidana Makan Alkitab Sebelum Dieksekusi Mati,1
1426, Gambar Tangkapan Layar Artikel Kompas.com “Jokowi beri isyarat nempak nya akan mundur sehabis lebaran ini. Kegagalan membayar Utang dan kemarahan rakyat akibat kabinet nya gagal kelola negara adalag Faktor utama nya”,1
4490, Perahu Terbalik di Danau Jatiluhur,1
5214, Fanpage Facebook Bantuan Samsung Pendidikan Adakan Program Bantuan Pendidikan,1
4651, MUI Larang Penggunaan Vaksin Covid-19 yang Didatangkan dari Tiongkok,1
1671," Foto Tank Milik Ukraina selama Invasi di Baghdad, Irak tahun 2004",1
95, Tanaman Berbuah Telur Ayam,1
2458, Jawa Barat Menggelar Pesta Kemenangan Sebagai Juara Umum PON Papua 2021,1
7591, DEKLARASI JATIM TOLAK KEBANGKITAN PKI,1
1557, “KETUA IDI RESMI DIPECAT”,1
6734, Daftar Menu Pesta Kuliner Gratis di Surabaya dan Semarang,1
7701, KTP Bernama Selamat Idul Adha,1
5156," Video “BERITA TERBARU HARI INI ~ SRI MULYANI SUDAH TIDAK SANGGUP LANJUT, SERAHKAN TUGASNYA KE RIZAL RAMLI”",1
1162," Ribuan Rumah Terendam Banjir, tapi Kuil Rumah Tuhan Masih Berdiri Tegak",1
7889, “Mana Suara Para Pejuang Anti Diskriminasi di Indonesia?”,1
6485, Anies Diberi Gelar Kehormatan oleh Perkumpulan Tiong Hoa dg Nama Liem Ay Bon,1
8814, Pria Mabuk Penenteng Golok Pada Aksi 212 Tewas Di Tahanan Polisi,1
7359, Pasien Peserta BPJS Rawat Inap Pindah Ke Gerbang Tol,1
7861, “Apapun Kelucuan yang Dibuat Rezim Ini Tetap Pokus Dengan 2019gantipresiden”,1
3145, Video UFO dengan Alien yang Tinggal di Dalam Bulan,1
8613, PGI Siap Berkati Jasad Muslim Pendukung Ahok Yang Tidak Diurus Oleh Muslim,1
330, Shopee Bagi Hadiah Rp185Juta Diumumkan Secara Resmi Via SMS,1
3337," Tangkapan Layar Berjudul “SAID AQIL Jangan Bilang Siapa-Siapa ya. Fieling Saya,Pak Jokowi Itu “IMAM MAHDI” Yang Muncul di Akhir Zaman Nanti”",1
7918, Viral Foto Bomber Gereja di Surabaya Masih Hidup,1
119, Rudal Rusia Hancurkan Apartemen di New York,1
7460, Dahnil Anzar Dilarang Paspampres Masuk ke Ruangan Muktamar ke-XVII Pemuda Muhammadiyah di UMY Bantul,1
6995, SESAR BATUI DAN BALANTAK PICU GEMPA DAN TSUNAMI,1
653, Ilmuwan Jepang Menemukan Cara Menjadi Tembus Pandang,1
5964," “Sekeluarga Kena Corona, Tinggal di Bintaro Sektor 2”",1
457, Pesan Whatsapp Bantuan BPJS Kesehatan Sebesar 100 Juta Rupiah,1
2952, Komedian Peppy Meninggal Dunia,1
2436, Cuitan “Lapor @pak_jk ini ada Lagi Ulah Taliban”,1
2303, Akun Facebook Wali Kota Palangkaraya Fairid Naparin,1
8073, “Registrasi Ulang Nomor Ponsel Akan Digunakan Atas Nama China”,1
5444, Anies Sebut Solusi Banjir adalah Tinggal Tunggu Musim Kemarau,1
8832,"[DISINFORMASI, ] Penangkapan Tersangka Teroris & Temuan Bom di Bekasi adalah Usaha Pengalihan isu.",1
7870, “Terkuak ***** PKS ini sering dibelai”,1
5264," “Inilah kebijakan yg merusak dan menjerumuskan generasi penerus bangsa,…menjauhkan nilai agama”",1
80, Muzdalifah Mantan Istri Nazar Meninggal Saat Menunaikan Ibadah Haji,1
5072, Prabowo Resmi Jadi Wakil Presiden,1
8413,() Tawuran FBR vs Ambon di Cililitan,1
5447, Video “ini demo di Amerika. saat ini di masa pandemik #COVIDー19”,1
1402, Tabung Gas Meledak Saat Digoyang-goyang,1
2034, Foto CT Scan Pasien Penderita Claustrophobia,1
7154, Video Prabowo Subianto nabok tangan pendukungnya sendiri,1
7361, The Jakmania dan Suporter Semen Padang Dukung Jokowi-Ma’ruf Amin Dalam Pilpres 2019,1
647, Gadis Ular Menggemparkan Dunia,1
4190, Ustaz Abdul Somad dan Ustaz Tengku Zulkarnain Mengundurkan Diri Sebagai Ulama,1
1056, Ferdy Sambo Mengamuk dan Ancam akan Buka Borok Polri Jika Ditetapkan Sebagai Tersangka,1
3834, “75 Tahun Indonesia Merdeka Baru Di Zaman Jokowi Lah Sumatera Mempunyai Jalan Tol”,1
6597, “Ketua KPU Imbau Masyarakat Hormati Hasil Pemilu Walau Banyak Kecurangan”,1
3761, Surat Panggilan Interview PT Jababeka Group,1
5754, SMKN 12 Jakut Tidak Memasang Foto Presiden Jokowi,1
3297," “Said Aqil Negara China Bukan Negara Komunis, Yang Komunis Itu Justru Arab?”",1
8484,[] SETYA NOVANTO AKAN BACAKAN TEKS PROKLAMASI,1
4773, Foto D.N. Aidit di Surat Kabar Asing,1
8629, Ahok Bersalaman dengan Raja Salman adalah Editan,1
6268, Passing Grade Universitas Indonesia,1
5839," Video Begal Tertangkap di Jl. Soekarno Hatta, Malang",1
6932,[Cek Fakta] Benarkah Serigala yang Berjalan Paling Depan Adalah yang Tua dan Sakit?,1
4279, “Gerai Subway pertama akan dibuka di Indonesia”,1
5516, Video “GEDUNG PUTIH DIGERUDUK PENDEMO”,1
1002, Peningkatan kasus Covid-19 disebabkan oleh orang-orang yang sudah divaksin,1
8865, FATWA SOLAT JUM’AT DIJALANAN,1
2484, Peserta Wawancara Pertamina Harus Membayar Biaya Akomodasi,1
1472," Selamat Jalan Ayah, Selamat Jalan Mas Tukul Arwana",1
248, LAGA DEBUT CRISTIANO RONALDO DI AL-NASSR DISAKSIKAN HAMPIR 15 MILIAR MANUSIA DARI TAYANGAN TELEVISI,1
7113, “Prabowo mengeluarkan kalimat yang merendahkan kaum miskin di Indonesia”,1
3454," Artikel Kompas.com “Diduga Tak Kuat Menunggu Maghrib, Seekor Cebong Nekad Adzan Sendiri”",1
6946,Facebook “Community Standards”,1
7787, Robohnya Salah Satu Bangunan Cagar Budaya Kota Tua Jakarta,1
3869, Nomor Palsu Satgas Covid-19 Beredar di Whatsapp,1
4366, Video Perampokan di City Square Mall Malaysia,1
169, “GEMPA DENGAN KEKUATAN 12.7 SR MENGGUNCANG JAKARTA”,1
1832, Pesawat Kargo China Yang Mendarat di Bandara Soetta Tanpa Izin Ternyata Menyebarkan Chemtrail,1
5170, Video “Ledakan pabrik kembang api di pelabuhan Beirut Lebanon sudah pernah diprediksi oleh The Simpson”,1
5958, Rakyat Italia Buang Duit ke Jalan karena Sudah Tidak Berguna Akibat Virus COVID-19,1
1642, “Selamat buat Dr. Terawan yang sebentar lg akan Resmi jd Milik Jerman dan bertugas disana”,1
2377, Foto Batu Nisan dengan Kode QR di Jepang,1
5684," “15 Hari Sembuh, Menhub Budi Karya Kembali Dinyatakan Positif Covid-19”",1
1915, Antibodi Covid-19 Membuat ASI Berubah Warna,1
1992, “Berita Duka Selamat Jalan Untuk Selamanya Sohimah”,1
318, SMP N 1 Ciawi memasukkan Kurikulum Dansa dlm pelajaran Extrakulikuler,1
2802, Pesan Singkat Shopee Bagi-Bagi Hadiah Rp175 Juta,1
9078,  Cina Klaim Kepemilikian Kepulauan Natuna,1
5700, Video “Warga india diserang Serangga beracun”,1
7518, Penemuan Mayat Seorang Anak Kelas Satu SDN Pademangan Barat 11 Kemayoran,1
6324, Foto “hasil buruan singa iran kepada serigala AS”,1
88, Lesti Kejora Meninggal Februari 2023,1
4051, Resep Campuran Teh Hijau dan Lemon Untuk Atasi Covid-19,1
8408,[] HIV Dalam Makanan Kaleng dan Wabah Pengerasan Otak & Sumsum Tulang Belakang,1
563, Gambar Tangkapan Layar Artikel “Heru Budi Minta Masjid jangan undang ustad yang ceramah radikal rentan teroris”,1
2287, Foto “orangutan mengulurkan tangannya untuk membantu seorang ahli geologi yang jatuh ke dalam kolam lumpur”,1
4698, Akun Twitter dan Whatsapp Kredivo “@Kredivo_2 dan +1 (817) 888-8222”,1
5344, Narasi Tito Karnavian Berideologi Komunis Karena Pernah Disekolahkan Partai Komunis China di Beijing,1
8508,"[] Fluoride Sangat Berbahaya, Bisa Menyebabkan Kanker",1
5198, Foto “Habib Rizieq dan Firza Husein”,1
927, KFC Bagi-Bagi Tiga Ember Ayam Gratis untuk Merayakan 71 Tahun KFC,1
5587," Foto “PRESIDEN menggunakan SEPATU didalam MESJID, #TerlaknaklahEngkau”",1
5716," “Info nya orang ini kabur dr kontrakan nya di Link. LEBAK INDAH, desa Lebak Gede”",1
4618, “IBUKOTA TERKEPUNG”,1
1413, Imbauan Modus Kejahatan Dari Polri dan TNI AD,1
932, Video “beredar luas rekaman akp Rita Yuliana ungkap kelakuan s4d1s Ferdy Sambo”,1
747," Begituan di Ruang Kosong, Adik Brigadir J beri bukti hubungan PC dan KM | Hakim Kaget Bukan Main",1
4047, Akun Facebook Bupati Probolinggo Puput Tantriana Sari,1
4984, Perdana Menteri Jepang Mundur Karena Terkait Virus Corona,1
1512," “Kabar Duka Nunung Meninggal Dunia di Tol Solo-Ngawi Akibat Kecelakaan Maut,ini penjelasannya”",1
509, UJI COBA KERETA CEPAT JAKARTA-BANDUNG  KELUAR DARI RELNYA DAN MEMAKAN KORBAN PEKERJA TERLUKA,1
6210," “Setelah cina di landa virus corona,allah beri hadiah kpd umat muslim di cina yaitu terbukanya mesjid2 seluruh daratan cina”",1
5837, Beberapa Negara Membuang Jenazah Pasien Covid-19 Ke Laut,1
6275, “Corona virus sudah ada di RS. Bhayangkara Indramayu”,1
5936, “Rezim togog Bedebah pasilitasi karantina khusus untuk TKA SILUMAN CHINA”,1
5434, Video “Benarkah COVID ada??”,1
3936, Foto Garda Nasional yang Mengamankan Acara Pelantikan Joe Biden,1
9057,() Ular Raksasa di Pedalaman Kalimantan,1
2420, Akun WhatsApp Wakil Bupati Bangkalan Meminta Sejumlah Dana,1
6337, Pesan Berantai Biaya Tilang Baru,1
76," IGUN DAN RUBEN JENGUK BUNDA CORLA KE JERMAN, ALHAMDULILLAH BUNDA CORLA SUDAH SEMBUH.!!!",1
6451, Peristiwa Perampokan Toko Emas Athira di Pematang Siantar,1
4087, “peristiwa bom bunuh diri di Nashville Amerika tak ada satupun media yang memberitakan”,1
3542, “setelah vaksin Covid-19 selama 5 bulan tak boleh minum yg mengandung alkohol”,1
6894, Wiranto Minta Pihak yang Lebih Mencintai Kalimat Tauhid Segera Angkat Kaki dari Indonesia,1
9107,"() Jokowi dituduh bodoh, salah cara dalam bersalaman dengan Raja Saudi.",1
6594, Makan Buah Saat Perut Kosong Bisa Sembuhkan Kanker,1
8047, “Permen Mengandung Narkoba Kasus Siswa SD Solok”,1
8171,"[] WAKIL PRESIDEN KE-6 RI, TRY SUTRISNO MENINGGAL",1
1084, Anak anak tidak beresiko terhadap Covid-19,1
4879, Pesan Whatsapp Ketua Komisi I DPRD Riau Tawarkan Lelang Mobil,1
4319, Erdogan Tidak Mau Duduk Bersama Macron,1
3519, Foto 6 Pria Peserta Kontes Kecantikan Tahun 1919,1
1087," Foto “Istri Tusuk Suami Usai Lihat Fotonya Dengan Wanita Lain ,Ternyata Perempuan Itu Dirinya Saat Masih Langsing”",1
3934, Pembagian Masker Gratis Dicampur Obat Bius,1
6631," Kemenag akan Hapus Materi Perang Uhud, Badar, dan Sebagainya dari Kurikulum Madrasah",1
700, Donald Trump Meninggal Pada Usia 76 Tahun,1
286, Venna Melinda Positif Hamil Anak Ferry Irawan,1
1880," Munarman Dijemput Allah, Petinggi FP1 Berkurang Lagi",1
7851, PEMOGE TEWAS DI JALUR ALTERNATIF CIKIDANG,1
1758, Banjir Air Mata Tentara Ukraina Peluk Pasangan Sebelum Berangkat Perang,1
8380, Sebuah Rezim Yang Mencari Solusi Pembiayaan Pembangunan Dengan Cara Menjual Aset-Aset Vital Negara,1
4885, Foto “Akhirnya Syekh Ali Jabber terbang pulang ke Madinah”,1
8522, Pemukulan Imam Salat Tarawih Oleh Polisi,1
3459, “Tol japek ganti nama Sheikh Mohammed bin Zayed?alias di jual”,1
7846," “Himbauan Ulama, Habaib, Kiyai, Pimpinan Pondok Pesantren Seluruh Indonesia Untuk Tidak Memilih Jokowi Presiden 2019”",1
3833, Foto “contoh anak Raja salman arab yg kuliah di amerika”,1
8678,[] Markas Indonesia Mengajar Dijadikan Basecamp oleh Anies di Pilkada DKI,1
267, Ustadz Maulana Meninggal Tadi Sore Pukul 1621 WIB,1
789," Pernyataan IDI tentang Daftar Minuman yang Menyebabkan Pengerasan Otak, Diabetes, dan Pengerasan Sumsum Tulang Belakang",1
4786, Peserta BPJS Kesehatan Gratis Diblokir Karena Punya Motor Lebih dari Satu,1
8533, Admin Grup Whatsapp Dihukum Penjara,1
5918, Kumpulan Mobil di Pool Grab Cinere karena Sopir Tidak Sanggup Bayar Kredit Saat Covid-19,1
8906," Kampanye Ahok di Ciganjur, Jakarta Selatan Tak Digubris",1
7995, “Fadli Zon  Semua Warga Indonesia Yang Tidak Pilih Prabowo Di Pilpres 2019 Akan Kami Usir Dari Indonesia”,1
4693, Memakai Masker Menyebabkan Kanker,1
6347, “Anggota BANSER di kudus jawa tengah di keroyok sama emak-emak penjual nasi uduk”,1
8826, Keberangkatan Puluhan Umat Se-Jabar (Tanggal 30 November 2016) Untuk Aksi Bela Islam Jilid 3 Yang Dipimpin Oleh KH Gymnastiar,1
6805, Daftar Obat Terlarang BPOM (Kop Surat RS Siloam),1
5555, “seorang pasien kanker melemparkan uang di seluruh koridor rumah sakit”,1
2884, “Masjid Al-Aqsa telah di bakar oleh Tentera Yahuuudi”,1
4782, Poster Kereta Api Nusa Ekspres Cilacap-Tegal Beroperasi Mulai 1 Oktober,1
2943, Banyaknya Varian Covid-19 Muncul Setelah Vaksinasi Dilakukan,1
6532," “Perintah pemimpin negara,,,,Seluruh karyawan PNS dan ASN diwajib kan berpakaian seperti foto dibawa ini kata mentri agama dan para menteri komunis”",1
4151," “Gunakan Syal Oranye, Rombongan Umroh Dilempari Batu Karena Dikira Jakmania”",1
6399, “Legenda Hello Kitty berasal dari gadis penderita kanker mulut dan Hello Kiity artinya dalam bahasa China adalah Halo Iblis”,1
8635,[] SUNITA WILLIAMS WANITA INDIA PERTAMA YANG PERGI KE BULAN DAN MUALAF,1
620, Steve Emmanuel Meninggal Di Lapas,1
3941," “LUPA SEMUANYA , SBY SEMAKIN PARAH KASIHAN! SBY JADI BEGINI”",1
1615," INNALILLAHI WA INNA ILAIHI ROJIUN, Artis Ike Nurjanah Meninggal Dunia",1
8864, Ustadz AA Gym Pimpin Ribuan Umat Bela Islam Se Jawa Barat Pada 30 November ke Jakarta,1
5144, Video “DETIK DETIK MA’RUF AMIN MUNDUR & DIGANTI DENGAN PRABOWO SEBAGAI WAKIL PRESIDEN DAMPINGI JOKOWI”,1
1095, Hidrogen Peroksida Dapat Sembuhkan Kanker Jika Digosokkan ke Kulit,1
4091, Eks Gubernur Jabar Beri Izin Penggunaan Lahan PTPN VII untuk Markas FPI,1
2319," Pesan Berantai “warga china dikasih kesempatan jadi PNS, padahal rakyat Indonesia sendiri masih banyak nganggur”",1
3143, Foto Bulan Meleleh,1
1057," TNI Serbu Malaysia, 6000 TKI Diungsikan",1
2392, Tautan Kuesioner Berhadiah dalam Rangka Perayaan HUT Ke-64 BCA,1
2818, Hasil Perhitungan Data Orang yang Sudah Divaksinasi Lebih Banyak Terpapar Varian Delta dan Peluang Kematian Lebih Tinggi,1
1400, Akun WhatsApp Wali Kota Magelang dengan Nomor “081358908928” Melakukan Penggalangan Donasi Berupa Uang untuk Pondok Pesantren dan PAUD,1
1791, Kulit Bayi Baru Lahir Melepuh Karena Ibu Vaksin Covid-19 Saat Hamil,1
2692," Terdapat Serpihan Emas di Gua Tao 8 Putri, Deli Serdang, Sumatera Utara",1
3771, Foto “Kepanikan Fira’un Jaman Now”,1
4038, Masjid Istiqlal Tidak Mengadakan Salat Jumat Karena Dikuasai PKI,1
8590,[] MARAK PENCULIKAN ANAK KECIL DENGAN PELAKU SADIS DAN KEJI,1
586, Foto Penyanyi Korea Won young IVE Sangat Kurus,1
8512, Kebakaran di Perumahan Polda Jabar karena Membubarkan Pengajian,1
1793, Video “Jokowi bebaskan H R S dan langsung dibawa ke istana untuk dilantik jadi Menag gantikan Yaqut”,1
6875, “DPR  RESMI HONORER 35 KEATAS DIANGKAT TANPA TES”,1
4808, Pedangdut Elvy Sukaesih Meninggal Dunia,1
3777, Fadli Zon Dipecat dari Jabatan Waketum Gerindra,1
5740, 50 Orang Maling Diterjunkan di Wilayah Temanggung,1
8233,[] “Google Melakukan Voting Untuk Penamaan “Israel” Atau “Palestina” Pada Petanya”,1
5960, Video “Ini lockdown di Spanyol”,1
7288, Pesan Berantai Lazada Grand Prize Hadiah Ratusan Juta Rupiah,1
5558, Lelang Online Oleh PT Pegadaian,1
7195, Akun Facebook Polwan Dukung Prabowo Sandi,1
1877, Foto Pohon Membeku Akibat Hidran Meledak di Cuaca Dingin di Kanada,1
2955, Daun Teh Pinus Putih hentikan bahaya Vaksin Covid-19,1
7032, “Ketua KPU 2014 Husni Kamil Mayatnya Penuh Bercak Darah”,1
5133, Foto “pandemi flu 1918”,1
2650," Pesan WhatsApp AKP Suparlan dari Kapolsek Maniis, Tasikmalaya Menawarkan Motor dan Mobil Lelang",1
1046, Vaksin Covid-19 Mengandung Logam,1
315, Cuti Bersama 23 Januari 2023 Bukan Libur Imlek Tapi Karena Ulang Tahun Megawati Soekarnoputri,1
6653, Gambar Sampul Majalah Tempo Edisi 5-11 Agustus 2019,1
5584, Foto “Hati hati kalo kita beli sepatu. Logo palu arit lambang PKI sudah bermuncululan”,1
1071, Lowongan Kerja Departemen Sumber Daya Manusia (SDM) Tokopedia,1
1175, Anak-Anak di Rusia Menyanyikan Lagu Indonesia Raya untuk Menyambut Presiden RI dalam Misi Perdamaian Rusia-Ukarina,1
8784,() Kapolri dan Wakapolri Mengenakan Topi Sinterklas,1
1314, Foto Bulan Jatuh,1
8882,[] Banser NU Mendukung Aksi 212,1
6086," Anjuran Mantan Menkes, Jemur Uang di Bawah Sinar Matahari Selama 30 Menit Bisa Cegah Penularan",1
8998,() Foto Pengungsi Suriah,1
7931, Pelayanan SIM Libur Selama 2 Minggu,1
5389, Selebaran Kegiatan Budaya “Gawai Dayak Juli 2020”,1
2098, “Manusia pertama baru saja mendarat di bulan tapi foto bumi yg diambil dari bulan sdh duluan dipajang”,1
2549, Kasus Positif Covid-19 di Surabaya Naik,1
1623, Foto Aktris Korea Selatan Jung Ho-yeon “This has to be the best photo to ever exist”,1
1794, Giveaway RANS Entertainment 5 juta untuk 500 orang,1
